Sensor,Hora
39182,14:44:04
39174,14:44:05
39182,14:44:06
39172,14:44:07
39169,14:44:08
39159,14:44:09
39162,14:44:10
39148,14:44:11
39136,14:44:12
39138,14:44:13
39123,14:44:14
39112,14:44:15
39104,14:44:16
39094,14:44:17
39078,14:44:18
39065,14:44:19
39054,14:44:20
39044,14:44:21
39036,14:44:22
39028,14:44:23
39028,14:44:24
39018,14:44:25
39016,14:44:26
39002,14:44:27
38989,14:44:28
38981,14:44:29
38960,14:44:30
38953,14:44:31
38950,14:44:32
38940,14:44:33
38937,14:44:34
38921,14:44:35
38914,14:44:36
38909,14:44:38
38911,14:44:39
38901,14:44:40
38888,14:44:41
38880,14:44:42
38874,14:44:43
38864,14:44:44
38867,14:44:45
38862,14:44:46
38846,14:44:47
38841,14:44:48
38825,14:44:49
38820,14:44:50
38809,14:44:51
38796,14:44:52
38783,14:44:53
38775,14:44:54
38773,14:44:55
38773,14:44:56
38765,14:44:57
38765,14:44:58
38762,14:44:59
38757,14:45:00
38750,14:45:01
38750,14:45:02
38731,14:45:03
38729,14:45:04
38729,14:45:05
38718,14:45:06
38708,14:45:07
38711,14:45:08
38697,14:45:09
38685,14:45:10
38674,14:45:11
38661,14:45:12
38653,14:45:13
38645,14:45:14
38648,14:45:15
38638,14:45:16
38627,14:45:17
38622,14:45:18
38614,14:45:19
38604,14:45:21
38596,14:45:22
38591,14:45:23
38586,14:45:24
38586,14:45:25
38581,14:45:26
38568,14:45:27
38571,14:45:28
38555,14:45:29
38550,14:45:30
38537,14:45:31
38537,14:45:32
38532,14:45:33
38529,14:45:34
38521,14:45:35
38514,14:45:36
38511,14:45:37
38498,14:45:38
38495,14:45:39
38488,14:45:40
38477,14:45:41
38472,14:45:42
38459,14:45:43
38452,14:45:44
38446,14:45:45
38436,14:45:46
38436,14:45:47
38442,14:45:48
38421,14:45:49
38421,14:45:50
38413,14:45:51
38400,14:45:52
38400,14:45:53
38387,14:45:54
38390,14:45:55
38369,14:45:56
38366,14:45:57
38362,14:45:58
38359,14:45:59
38349,14:46:00
38344,14:46:01
38333,14:46:02
38325,14:46:03
38320,14:46:05
38315,14:46:06
38310,14:46:07
38302,14:46:08
38297,14:46:09
38287,14:46:10
38279,14:46:11
38276,14:46:12
38271,14:46:13
38264,14:46:14
38258,14:46:15
38258,14:46:16
38240,14:46:17
38238,14:46:18
38249,14:46:19
38228,14:46:20
38228,14:46:21
38223,14:46:22
38212,14:46:23
38207,14:46:24
38205,14:46:25
38200,14:46:26
38181,14:46:27
38184,14:46:28
38176,14:46:29
38166,14:46:30
38153,14:46:31
38153,14:46:32
38147,14:46:33
38132,14:46:34
38132,14:46:35
38130,14:46:36
38119,14:46:37
38111,14:46:38
38109,14:46:39
38104,14:46:40
38099,14:46:41
38091,14:46:42
38083,14:46:43
38083,14:46:44
38073,14:46:45
38065,14:46:46
38057,14:46:47
38058,14:46:49
38050,14:46:50
38042,14:46:51
38037,14:46:52
38014,14:46:53
38014,14:46:54
38003,14:46:55
37998,14:46:56
37993,14:46:57
37983,14:46:58
37980,14:46:59
37962,14:47:00
37962,14:47:01
37941,14:47:02
37941,14:47:03
37929,14:47:04
37929,14:47:05
37911,14:47:06
37908,14:47:07
37900,14:47:08
37885,14:47:09
37874,14:47:10
37864,14:47:11
